1,8
2,9
3,5
4,8
5,3
6,3
7,12
8,7
9,1
10,8
11,11
12,1
13,2
14,4
15,8
16,9
17,10
18,2
19,9
20,9
21,6
22,8
23,4
24,6
25,4
26,6
27,4
28,3
29,10
30,9
31,5
32,6
33,6
34,10
35,2
36,3
37,1
38,5
39,4
40,4
41,2
42,4
43,7
44,2
45,1
46,6
47,12
48,3
49,11
50,9
51,3
52,6
53,5
54,7
55,10
56,5
57,3
58,6
59,8
60,6
61,7
62,10
63,10
64,11
65,7
66,2
67,4
68,9
69,5
70,5
71,8
72,2
73,5
74,12
75,7
76,7
77,4
78,11
79,7
80,10
81,11
82,4
83,7
84,8
85,1
86,8
87,4
88,2
89,3
90,9
91,7
92,4
93,2
94,12
95,1
96,11
97,10
98,2
99,1
100,6
101,5
102,3
103,9
104,12
105,6
106,3
107,3
108,1
109,8
110,3
111,3
112,3
113,6
114,10
115,7
